nombre_original,nombre_google,direccion,municipio,estado,lat,lng,place_id
COBAY VALLADOLID,COBAY,"C. 32 S/N, Fernando Novelo, 97780 Valladolid, Yuc., Mexico",,Yucatán,20.6974196,-88.19490069999999,ChIJI8wxLswKUY8RBSEHEdRPYGc
COBAY XOCLAN,COBAY Xoclán,"C. 132 x 42, Xoclán Carmelitas, 97245 Mérida, Yuc., Mexico",,Yucatán,20.9709302,-89.6670396,ChIJhXBLpAtzVo8RwHejqooNzcc
PLANTEL COBAY SAN JOSE TZAL,COBAY,"C. 23 817, San José Tzal, 97315 San José Tzal, Yuc., Mexico",,Yucatán,20.8207766,-89.65598519999999,ChIJzZFRUHhtVo8RYtz_Eodtipc
COBAY TEABO,Cobay Plantel Teabo Yuc.,"C. 23 57, 97910 Teabo, Yuc., Mexico",,Yucatán,20.408896,-89.2850957,ChIJCddpdGL8Vo8RhliDBIVWc10
COBAY TIZIMIN,Colegio de Bachilleres del Estado de Yucatán Plantel Tizimín,"Calle 48-B S/N por Calle 31, Centro, 97702 Tizimín, Yuc., Mexico",,Yucatán,21.1565151,-88.1455902,ChIJr1WVbGsrUo8RPMfU3WJE-vA
COLEGIO DE BACHILLERES PLANTEL JMM,Colegio de Bachilleres Plantel José Ma. Morelos,"Guadaloupe, 77890 José María Morelos, Quintana Roo, Mexico",,Yucatán,19.7564535,-88.70187969999999,ChIJ61CEHuKxUI8Rn5DD_CQ6Eek
COBAY SEYE,Cobay Seyé,"Seyé Municipality, 97570 Seyé, Yucatan, Mexico",,Yucatán,20.8436105,-89.3861972,ChIJCSLxcs-JVo8R8o-CXCAtPLY
COLEGIO DEL GOLFO DE MERIDA,Colegio del Golfo de Merida,"calle 86 476-P, entre 47 Y 49, Centro, 97000 Mérida, Yuc., Mexico",,Yucatán,20.9780895,-89.63974920000001,ChIJn5qTuNpzVo8R75RnAgRSsgc
CONALEP MERIDA,Conalep Mérida 1,"55 # 729 x, Cto. Colonias Fraccionamiento, Pacabtún, 97160 Mérida, Yuc., Mexico",,Yucatán,20.9699288,-89.5883291,ChIJKdvm6vpzVo8R74Qhxh6Q6_M
CONRADO MENENDEZ DIAZ,Conrado Menéndez Díaz,"Av Fidel Velázquez 849, Esperanza, 97169 Mérida, Yuc., Mexico",,Yucatán,20.9654446,-89.5886001,ChIJ3bxqoR1xVo8RT0ilGE-zjxY
COBAY CUZAMA,Cobay Cuzama,"97577 Cuzamá, Yucatan, Mexico",,Yucatán,20.7412343,-89.30133889999999,ChIJvTSRSuuMVo8Rmh6SrlGR_D8
CENTRO UNIVERSITARIO FELIPE CARRILLO PUERTO,Felipe Carrillo Puerto Centro Universitario,"C. 65 583, Parque Santiago, Centro, 97000 Mérida, Yuc., Mexico",,Yucatán,20.967184,-89.6313095,ChIJwRR3l9tzVo8RqpMLzjuO1oY
CENTRO UNIVERSITARIO MONTEJO,Centro Universitario Montejo,"C. 60 106, Loma Bonita, 97205 Mérida, Yuc., Mexico",,Yucatán,21.0272941,-89.62825769999999,ChIJ0VELv110Vo8Rj7GkFCj1wMw
COLEGIO YUCATAN,"Colegio Yucatán, Plantel Secundaria-Preparatoria","Avenida 37 por 24 y 26, Limones, 97219 Mérida, Yuc., Mexico",,Yucatán,21.0023528,-89.64799409999999,ChIJN8hHPXR0Vo8RppNSH645tiA
DAVID ALFARO SIQUEIROS MIRAFLORES,Institute of Higher Studies David Alfaro Siqueiros,"x 26, C. 65 230, Miraflores, 97179 Mérida, Yuc., Mexico",,Yucatán,20.9578572,-89.5982154,ChIJ2_nnFA9xVo8RPP48g0Sk9Rk
EDUCACION INTEGRAL Y ACTIVA EDAI,EDAI - Educación Activa e Integral de Mérida,"Av. Yucatán No. 524-1 x 22 y 24, Maya, 97134 Mérida, Yuc., Mexico",,Yucatán,21.0165051,-89.5703504,ChIJERbMhSVxVo8R0swtAwlJ9WY
COLEGIO EDUCACION Y PATRIA,College Education and Patria,"Calle 64 x 57 y 59 No.485, Parque Santiago, Centro, 97000 Mérida, Yuc., Mexico",,Yucatán,20.969793,-89.6254872,ChIJq6DUYN9zVo8Ra93W03Z6ZAQ
ESCUELA PREPARATORIA JOSE DOLORES RODRIGUEZ TAMAYO,CENTRO EDUCATIVO JOSE DOLORES RODRIGUEZ TAMAYO,"C. 18 entre 13 y 15, Col. Guadalupe, 97860 Ticul, Yuc., Mexico",,Yucatán,20.4054165,-89.5286088,ChIJGYM-Vj5SVo8RdnoVaCrW400
PREPARATORIA ESTATAL NUM. 10,"Escuela Preparatoria Estatal Número 10 ""Ruben H. Rodríguez Moguel""","Calle 59, s/n 102-A y 106, Cd Caucel, 97314 Mérida, Yuc., Mexico",,Yucatán,20.9993114,-89.7157014,ChIJydXwaV8LVo8R4sPk4kvksDc
FRANCISCO DE MONTEJO Y LEON,Escuela Preparatoria Particular Francisco de Montejo y León,"Calle 47 514A X 62 y 64, Parque Santa Ana, Centro, 97000 Mérida, Yuc., Mexico",,Yucatán,20.9756024,-89.6238668,ChIJ-cWJ_-tzVo8RH92uyhDu2Uw
GONZALO CAMARA ZAVALA,Preparatoria Lic. Gonzalo Cámara Zavala,"C. 60 602-x 73 y 75, Centro, 97000 Mérida, Yuc., Mexico",,Yucatán,20.9581982,-89.6247518,ChIJx-LGFRtxVo8RRf64pzL_SYY
COBAY HUNUCMA,COBAY Hunucmá,"México 281 Km25, 97350 Hunucmá, Yuc., Mexico",,Yucatán,21.027596,-89.8490259,ChIJ9VXTgmsJVo8R6r35iNxCZsg
IBCEY,IBECEY,"C. 31ᴮ 360, López Mateos, 97140 Mérida, Yuc., Mexico",,Yucatán,20.9838649,-89.5998029,ChIJ2wJVRTpxVo8Rhm_v6-tqMuY
INSTITUTO FELTON,Dalí Educational Institute,"C. 47-A 276-274 y, entre 46 y 48, Francisco de Montejo, 97203 Mérida, Yuc., Mexico",,Yucatán,21.0345545,-89.6431621,ChIJqzEQ7Dd0Vo8R9mQ_pB4ctiQ
INSTITUTO COMERCIAL BANCARIO,Instituto Comercial Bancarios,"C. 62 373, Centro, 97000 Mérida, Yuc., Mexico",,Yucatán,20.9769733,-89.6227462,ChIJ-z4iVV5xVo8RR8gV3docGO4
INSTITUTO DAVID ALFARO,Institute of Higher Studies David Alfaro Siqueiros,"x 26, C. 65 230, Miraflores, 97179 Mérida, Yuc., Mexico",,Yucatán,20.9578572,-89.5982154,ChIJ2_nnFA9xVo8RPP48g0Sk9Rk
INSTITUTO MEXICO,Instituto México,"Instituto México, C. 51, Centro, 97702 Tizimín, Yuc., Mexico",,Yucatán,21.1461738,-88.1579556,ChIJr694hjorUo8RMRnhuStPb0Y
JOSE VASCONCELOS,Instituto Superior José Vasconcelos,"C. 59 615 B-x 80 y 82, Barrio de Santiago, Centro, 97000 Mérida, Yuc., Mexico",,Yucatán,20.9710341,-89.6370797,ChIJqeuBqsNzVo8R_XofP24DFDE
COBAY KOMCHEN,COBAY Komchen,"Calle 14 por 31, Komchen, 97300 Mérida, Yuc., Mexico",,Yucatán,21.1008784,-89.6516418,ChIJ3bhh7WTfVY8RJYa1Ayj91VY
LUIS PASTEUR - CAMPECHE,Luis Pasteur school,"295, Av Gobernadores, Huanal, 24070 San Francisco de Campeche, Camp., Mexico",,Yucatán,19.842567,-90.5143368,ChIJt1kSeFCxUBERVCeGU6iHdVs
LUIS ALVAREZ BARRET,Escuela Luis Álvarez Barret,"97700, C. 38 438, Santo Domingo, 97703 Tizimín, Yuc., Mexico",,Yucatán,21.130301,-88.1445865,ChIJHUjA7uEqUo8RPsOU1WhaULU
CETMAR-PROGRESO,Cetmar Yucalpeten,"Km 1.5 Antigua Carretera a Chelem. Calle 27 Lib, Calle 27, Boulevard Turístico Yucalpetén, 97320 Progreso, Yuc., Mexico",,Yucatán,21.2805573,-89.6974939,ChIJAQAAANXcVY8RHtUk3619vXM
MANUEL CRESCENCIO REJON,Mérida International Airport,"97255 Merida, Yucatan, Mexico",,Yucatán,20.9335705,-89.65659889999999,ChIJ1-pVRVhyVo8RXJBJMqoPEy4
MEXICANA DEL MAYAB,"""Mexican Del Mayab"" PREPARATORY","C. 61 322, Esperanza, 97169 Mérida, Yuc., Mexico",,Yucatán,20.9646246,-89.59831729999999,ChIJI4byXBBxVo8Rx4oZ4NpTZ04
PREPARATORIA MODELO,Universidad Modelo,"México 176, 97305 Mérida, Yuc., Mexico",,Yucatán,21.0285163,-89.5677716,ChIJp6PVWGt3Vo8RA-Y5DaaGSzo
PREPARATORIA MUNA,Preparatoria Muna,"Muna, 97840 Muna, Yucatan, Mexico",,Yucatán,20.4871693,-89.7226697,ChIJA_Zsljw3Vo8RY4uFpJyD0O8
COBAY PLANTEL PETO,COBAY Peto,"Carretera Federal Peto, Santa Rosa km 5, 97930 Peto, Yuc., Mexico",,Yucatán,20.0942112,-88.91534990000001,ChIJsyt1eKMxV48R-PXdLTT_JJ4
PREPA ACANCEH,Preparatoria Acanceh A.C.,"Acanceh, 97380 112 Calle 25, 97380 Acanceh, Yuc., Mexico",,Yucatán,20.8118789,-89.45380569999999,ChIJW2Zzbt5jVo8RUHRCDn0ZTpM
PREPARATORIA LIBRE,Preparatoria,"Tizimín, El Tepeyac, 97703 Tizimín, Yuc., Mexico",,Yucatán,21.1415817,-88.1317505,ChIJERm-SgYrUo8RolECX5JEalE
PREPA LIBRE SEP,Preparatoria Abierta Yucatán,"Calle 31 A, y 29, entre 8, San Esteban, 97149 Mérida, Yuc., Mexico",,Yucatán,20.9958939,-89.5903041,ChIJY4D7ZStxVo8RIS7fdvhqQPo
PREPARATORIA ESTATAL No. 8,State School Num. 8 Carlos Castillo Peraza,"C. 51, Francisco de Montejo II, 97203 Mérida, Yuc., Mexico",,Yucatán,21.0342213,-89.65219619999999,ChIJgb3e9E90Vo8RlUeUtndc91Y
PREPARATORIA ESTATAL CTM #3,Escuela Preparatoria Estatal 3 Ctm,"C. 57 Lote Núm. 746, entre 16 y Cto. Colonias, Fraccionamiento del Parque, 97160 Mérida, Yuc., Mexico",,Yucatán,20.9674585,-89.5888573,ChIJGYJ5tmZxVo8R6C-MoLF7nCo
PREPARATORIA ESTATAL 3,Escuela Preparatoria Estatal 3 Ctm,"C. 57 Lote Núm. 746, entre 16 y Cto. Colonias, Fraccionamiento del Parque, 97160 Mérida, Yuc., Mexico",,Yucatán,20.9674585,-89.5888573,ChIJGYJ5tmZxVo8R6C-MoLF7nCo
